Name,Abbreviation
Alberta,AB
British Columbia,BC
Manitoba,MB
New Brunswick,NB
Newfoundland and Labrador,NF
Northwest Territories,NT
Nova Scotia,NS
Nunavut,NU
Ontario,ON
Prince Edward Island,PE
Quebec,QB
Saskatchewan,SK
Yukon,YU
